==== START logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-8jvqc ====
==== END logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-8jvqc ====
==== START logs for container gke-metrics-agent of pod kube-system/gke-metrics-agent-8jvqc ====
2025/10/08 17:32:29 Log rate limiter is enabled.
2025-10-13T22:03:02.430Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-13T22:03:02.431Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T03:55:47.439Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T03:55:47.440Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T04:16:32.439Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T04:16:32.439Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T05:54:47.443Z	error	uasexporter/exporter.go:243	failed to send metrics data to UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T10:00:32.431Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T10:00:32.432Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T10:21:02.459Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T10:21:02.462Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T16:12:32.431Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T16:12:32.432Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T16:32:47.450Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T16:32:47.451Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T22:24:02.477Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T22:24:02.478Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-14T22:45:02.471Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-14T22:45:02.471Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T04:34:32.460Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T04:34:32.461Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T04:55:02.436Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T04:55:02.436Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T10:07:32.450Z	error	uasexporter/exporter.go:243	failed to send metrics data to UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T10:49:17.436Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T10:49:17.436Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T11:09:47.430Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T11:09:47.430Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T17:00:02.468Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T17:00:02.469Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T17:21:02.454Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T17:21:02.454Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T23:11:32.434Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T23:11:32.435Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-15T23:32:02.433Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-15T23:32:02.433Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T05:21:32.437Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T05:21:32.438Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T05:41:47.437Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T05:41:47.437Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T11:32:47.436Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T11:32:47.436Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T11:53:02.446Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T11:53:02.446Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T17:43:47.446Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T17:43:47.449Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T18:04:02.463Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T18:04:02.463Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-16T23:53:32.429Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-16T23:53:32.429Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-17T00:13:47.431Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
