==== START logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== END logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== START logs for container event-exporter of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
I1001 19:12:19.631631       1 sink.go:101] Starting Stackdriver sink
W1002 03:46:29.812378       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 03:52:04.117131       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:01:19.125319       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:07:06.269191       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:22:01.173559       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:28:31.692482       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:37:57.999097       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 04:46:53.540744       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 05:02:15.501053       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 05:17:54.765135       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 05:36:06.228012       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 05:49:23.319717       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 06:00:49.387626       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 06:15:54.948859       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
